wallet,score,wins,losses,samples,winrate,wlb,seen,last_seen_ts,last_seen_utc,blue_txs,beluga_txs,whale_score
6irR4BfiUHfDPhhf7ESVydfqT1noGnkxApjtQTpWGcHY,-6,4,8,12,0.3333333333333333,0.13811783989736134,25,1767533468,2026-01-04T13:31:08,0,1,0.0
d6k7wYoNNpEQytRKK9jmZJPy2YvbB2By5ncPY31Guzw,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767508118,2026-01-04T06:28:38,0,0,0.0
G9PBDVZVHjr3R3LcH8Thn9nr4yWRdidXKMQrYLS2KcT4,-6,3,6,9,0.3333333333333333,0.12058159868274292,29,1767562423,2026-01-04T21:33:43,0,0,0.0
BERPZ6ULZjvfvHfW2gDXwTpwVLRoHjJuRUGZrSRRiSp1,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767507479,2026-01-04T06:17:59,0,0,0.0
DySrvcDmouBTARyaykWJjWH7tpvaDRAruNEDXkkr9zPZ,-6,3,6,9,0.3333333333333333,0.12058159868274292,14,1767562552,2026-01-04T21:35:52,0,1,0.0
5UpMaM5tea4GzXThdoujCfbcWS58LWrdXzX8CgZ57AUQ,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767508638,2026-01-04T06:37:18,0,0,0.0
6oUgu7NChC1GacPAX7tojUaNn281vEEJVqjDV2oTe1nt,-6,3,6,9,0.3333333333333333,0.12058159868274292,13,1767522620,2026-01-04T10:30:20,0,0,0.0
R3NC3fpCBFm46CJAHxPbgP8b66oBPWqt9oUD8jbRPCn,-6,3,6,9,0.3333333333333333,0.12058159868274292,21,1767544977,2026-01-04T16:42:57,0,0,0.0
9e46UxvTnuR3QT8TLKBhroySdnn3WmwReQj9uzwJbCro,-6,3,6,9,0.3333333333333333,0.12058159868274292,17,1767562743,2026-01-04T21:39:03,0,0,0.0
2zcgUmJEXQHTtDCi337JiVuHZXjNicHzGBY7Vk4duqEX,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767538487,2026-01-04T14:54:47,0,0,0.0
FYSEMzumjj6uE4f3kgBYgaTFcx1NSLAAYWqCYUsLpRev,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767508798,2026-01-04T06:39:58,0,0,0.0
4rga6hiwjP6cWvxcSXTDwHoWcJBCyfU962q3ipnKKqg7,-6,3,6,9,0.3333333333333333,0.12058159868274292,13,1767508798,2026-01-04T06:39:58,0,0,0.0
4U9c8CpuM1mHF7y2QCPiyBmnGMUfhA9BDAnPCukFWZYt,-6,3,6,9,0.3333333333333333,0.12058159868274292,9,1767505885,2026-01-04T05:51:25,0,0,0.0
GzyaVSRTQCsuaHAM7PFxbiGxrLHsxrXz4soCfPopc3BQ,-6,3,6,9,0.3333333333333333,0.12058159868274292,13,1767523096,2026-01-04T10:38:16,0,0,0.0
Grww8Yy1w1vHYAPZ6fU55irkHCQNKBHiRhPBq4hCJgE8,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767507542,2026-01-04T06:19:02,0,0,0.0
DGcP9pLJXysWRAuyLtyfLTJZdpVEQUdRLfyW6pviw5J,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767508798,2026-01-04T06:39:58,0,0,0.0
FbP8ADMrk2f89bHotGTgMLM14V2ea7AMn1fTUHD97TcH,-6,3,6,9,0.3333333333333333,0.12058159868274292,21,1767562224,2026-01-04T21:30:24,0,0,0.0
AnnXB8zHKrE9HYzecD9VcfLq7Xy95XjyFb8SwJ7QLX3K,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767523409,2026-01-04T10:43:29,0,0,0.0
9EFR9CvXyd7wyE78pELdZp8KtMCvXJQ2kwELRrmTAq8M,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767508118,2026-01-04T06:28:38,0,0,0.0
H1YfrnKRbLA6vtof7tNs1w498tcNMrpgRTbVkhw9Lopa,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767508052,2026-01-04T06:27:32,0,0,0.0
7K33c8pU9z5mMXvTcFAubvUoDdkU6Qk6dr7THAZkJpTU,-6,3,6,9,0.3333333333333333,0.12058159868274292,12,1767534857,2026-01-04T13:54:17,0,0,0.0
E2AS2FqFKJDD1VpYAjntH96Cre8XHkG8kfZ4uhKzGxxS,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767508798,2026-01-04T06:39:58,0,0,0.0
En4XnhmYc3PCtByop2SrNRh2PYcwbyQC1L76ZUeJEVeH,-6,3,6,9,0.3333333333333333,0.12058159868274292,11,1767522874,2026-01-04T10:34:34,0,0,0.0
7vk2QPFLky1ifNKBo4kUvDA8CvU9HE1iMBNhNeikRq3A,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767507986,2026-01-04T06:26:26,0,0,0.0
9dH6LGvd1Gx7Moo3wTmBoE5jGvKwpLxSJ869cn7gAXKg,-6,3,6,9,0.3333333333333333,0.12058159868274292,10,1767546923,2026-01-04T17:15:23,0,0,0.0
859qfpEzZUujRG8GRoAATQbuTZxGZ4ScmHKfEoiUanie,-8,6,11,17,0.35294117647058826,0.17309486143904904,19,1767508798,2026-01-04T06:39:58,0,0,0.0
AqRKBfNaNaGDCj7CNMJ5xxFcymn5RVNcLT1xZPuoZTrk,-8,4,8,12,0.3333333333333333,0.13811783989736134,15,1767508798,2026-01-04T06:39:58,0,0,0.0
BJQzsCnTkvwuqLs37nofWXj3MRkx3SwqQG79eAwdJvms,-8,4,8,12,0.3333333333333333,0.13811783989736134,14,1767508798,2026-01-04T06:39:58,0,0,0.0
C7hrkpDvEN2xa8HrLYrahAwhkpG1yA2xaxTkDBpbJs4s,-8,4,8,12,0.3333333333333333,0.13811783989736134,13,1767508118,2026-01-04T06:28:38,0,0,0.0
